timestamp,user_text,picked_id,similarity
2025-11-12T08:26:10.835090,Wie lange dauert die Studie?,A3,1.0000000000000004
2025-11-12T09:13:32.902702,Wie melde ich mich an?,A1,1.0
2025-11-12T09:19:26.592827,Kann ich anonym teilnehmen,A2,1.0000000000000002
2025-11-12T09:19:39.014449,anonym?,A2,0.3898880096169543
2025-11-12T09:23:57.475766,wie lange dauert ,A3,0.7305563296677132
2025-11-12T09:26:02.713211,was ist die wurzel aus 8?,A3,0.34142621793823913
2025-11-12T10:03:39.376704,Wann kann ich einchecken?,A2,0.6260585913696252
2025-11-12T10:04:17.731059,wann kann ich einchecken,Q2,0.8069568761709675
2025-11-12T10:04:50.978947,wie viel uhr ist es,Q35,0.39109434357369854
2025-11-12T10:06:10.450748,wo ist das frühstück,Q7,0.4334323222124262
2025-11-12T10:06:25.850545,welche farbe hat der himmel,Q33,0.29104938226873606
2025-11-12T10:06:41.153001,welche farbe hat der himmel,Q33,0.29104938226873606
2025-11-12T10:07:36.422935,welche farbe hat der himmel,,0.0
2025-11-12T10:07:52.791070,wann ist check-in,,0.0
2025-11-12T10:08:35.768529,wann ist chekc-in,Q49,0.4441224508586833
2025-11-12T10:08:43.542566,frühstück,,0.0
2025-11-12T10:11:03.943825,wann ist frühstück,Q49,0.4592712108000987
2025-11-12T10:12:02.292424,wann ist check-in,Q6,0.4404403554596028
2025-11-12T10:12:10.901946,wann ist frühstück,Q49,0.4592712108000987
2025-11-12T10:12:48.639829,wann ist check-out,Q49,0.4319742747606789
2025-11-12T10:13:05.356281,wo  ist mein zimmer,Q7,0.44030268305881
2025-11-12T10:13:37.332518,sind haustiere erlaubt,Q22,1.0
2025-11-12T10:21:14.175566,Wann ist Check.Out?,Q49,0.4319742747606789
2025-11-12T10:21:26.354677,wo sind toiletten,Q88,0.6384302633455379
2025-11-12T10:22:02.269375,wann muss ich ausschecen,Q3,0.7015285131851461
2025-11-12T10:22:22.803543,gibt es frühstück,Q24,0.3539474112537641
2025-11-12T10:23:13.102758,gibt es eine minibar,Q42,0.7800116708073551
2025-11-12T10:23:19.432036,gibt es einen pool,Q50,1.0
2025-11-12T10:23:32.755165,was kostet eine nacht,,0.0
2025-11-12T10:24:01.464466,ich habe meine zimmerkarte verloren,Q12,0.5584597991199924
2025-11-12T13:37:44.423512,was kostet eine nacht,,0.0
2025-11-12T13:38:06.871675,gibt es restaurants in der nähe,Q99,0.6043834059680678
2025-11-12T13:38:21.702852,bis wann muss ich ausschecken,Q3,0.8697768688214369
2025-11-12T13:38:37.943450,bis wann gibt es frühstück,Q3,0.4773471770774449
2025-11-12T13:38:46.494920,was kostet frühstück,Q35,0.3946564789314916
2025-11-13T09:43:45.239261,wann muss ich ausschecken?,Q3,0.7015285131851461
2025-11-13T09:43:57.310942,ok,,0.0
2025-11-13T09:50:22.712336,bis wann muss ich ausschecken?,Q3,0.8697768688214369
2025-11-14T11:10:19.326969,gibt es salami pizza zum frühstück?,Q100,0.3622797719377674
2025-11-14T11:11:11.680864,frühstück,Q35,0.31972366849949563
